Sku,Delivery_time,Product_id,category,level,url,brand,img,Variant,source_url,desc1,um,source,href,region_name,title,price1,Saller,price,desc
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/acc-53-grade-cement/,ACC,,50,,,,,,,ACC 53 Grade Cement,440.00,,380.00,", , ACC 53 Grade Cement, , ACC OPC 53 grade cement is an ordinary portland cement which surpasses the requirements of IS: 12269-53 grade. It is produced from high quality clinker ground with high purity gypsum.\xa0ACC 53 grade OPC cement provides high strength and durability to structures because of its optimum particle size distribution, superior crystalline structure and balanced phase composition.\xa0It is available in specially designed 50 kg bags., , "
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/acc-43-grade-cement/,ACC,,50,,,,,,,ACC 43 Grade Cement,445.00,,383.00,", , ACC 43 Grade Cement, , ACC OPC 43 Grade Cement is the most commonly used cement in all construction projects including plain and reinforced cement concrete, brick and stone masonry, floors and plastering. It is also used in the finishing of all types of buildings, bridges, culverts, roads, water retaining structures, etc.\xa0ACC Cement surpasses BIS Specifications (IS 8112-1989 for 43 grade OPC) on compressive strength levels.\xa0ACC Cement is marketed in specially designed 50 kg bags., , "
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/acc-ppc-cement/,,,50,,,,,,,ACC PPC Cement,440.00,,373.00,", , ACC PPC Cement, , ACC PPC Grade Cement is an Portland Pozzolana Cement. It is produced from high quality clinker ground with high purity gypsum.\xa0ACC PPC Cement has ingredients which react with calcium hydroxide to form CSH gel, to provide additional strength, which actually makes the concrete grow in strength over the years. It also produces less heat of hydration and offers greater resistance to the attack of aggressive waters than normal Portland cement.\xa0ACC PPC Grade Cement provides high strength and durability to structures because of its optimum particle size distribution, superior crystalline structure and balanced phase composition.\xa0It is available in specially designed 50 kg bags., , "
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/anjani-53-grade-cement/,,,50,,,,,,,Anjani 53 Grade Cement,345.00,,335.00,", , Anjani 53 Grade Cement, , Anjani 53 Grade Cement is the most commonly used cement in all construction projects including plain and reinforced cement concrete, brick and stone masonry, floors and plastering. It is also used in the finishing of all types of buildings, bridges, culverts, roads, water retaining structures, etc.\xa0Anjani Cement is marketed in specially designed 50 kg bags., , "
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/bharathi-53-grade-cement-2/,,,50,,,,,,,Bharathi 53 Grade Cement,400.00,,395.00,", Bharathi 53 Grade Cement, , Bharathi Cement Corporation Private Limited is a producer of superior quality cement setting new standards in construction and is a subsidiary of Vicat Group in India.\xa0Bharathi 53 Grade OPC is an Ordinary Portland Cement which surpasses the requirements set by IS12269-1987 Grade. It is produced by inter grinding of high grade clinker (with high C3S content) and right quality gypsum in predetermined proportions.\xa0Bharathi OPC 53 Grade cement is recognized for its high early strength and excellent ultimate strength because of its optimum particle size distribution, superior crystalline structure and balanced phase composition and hence widely used and suitable for speedy construction, durable concrete and economic concrete mix designs.\xa0Bharathi 53 Grade Cement is known for low percentages of alkalies, chlorides, magnesia and free lime. It is durable concrete with high strength., "
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/birla-gold-ppc-cement-3/,,,50,,,,,,,Birla Gold PPC Cement,350.00,,335.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/priya-53-grade-cement/,,,50,,,,,,,Priya 53 Grade Cement,370.00,,360.00,
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/bharathi-ppc-cement/,,,50,,,,,,,Bharathi PPC Cement,395.00,,385.00,", Bharathi PPC Cement, , Bharathi Portland pozzolana (PPC) cement is a premium composite cement manufactured by inter grinding of high quality clinker, carefully selected High reactive Silica (HRS) obtained from electrostatic precipitators with right quality gypsum.\xa0This unique, value-added product has hydraulic binding properties not found in ordinary cements. This product has various advantages compared to ordinary Portland cement as it has a low heat of hydration, resistance to sulphate attack and chloride attack. It us resistant to alkali silica reaction and is known for reduction in water demand. Due to high fineness of cement it reduces bleeding. \xa0The pore refinement leads to improved density of concrete., "
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/bharathi-43-grade-cement/,,,50,,,,,,,Bharathi 43 Grade Cement,395.00,,390.00,", , Bharathi 43 Grade Cement, , Bharathi Cement Corporation Private Limited is a producer of superior quality cement setting new standards in construction and is a subsidiary of Vicat Group in India.\xa0Bharathi Cement\u2019s ultra modern manufacturing plant has a production capacity of over 5 Million Tonnes per annum.\xa0Bharathi OPC 43 Grade Cement is used in all construction projects including plain and reinforced cement concrete, brick and stone masonry, floors and plastering. It is also used in all types of residential and commercial complexes, bridges, culverts, roads, water retaining structures, as well as for construction of highways and runways etc., , "
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/zuari-ppc-cement/,,,50,,,,,,,Zuari PPC Cement,380.00,,370.00,", Zuari PPC Cement, , Zuari PPC Cement is manufactured by inter grinding of high quality clinker, carefully selected high reactive silica (HRS) obtained from electrostatic precipitators with right quality gypsum., This unique, value-added product has hydraulic binding properties not found in ordinary cements. Zuari product has various advantages compared to ordinary Portland cement like l, ow heat of hydration, r, esistance to sulphate attack and chloride attack, r, esistance to alkali silica reaction, r, eduction in water demand., Due to high fineness of cement it r, educes bleeding. The p, ore refinement leads to improved density of concrete., The concrete produced by using PPC has more strength, is more durable, can resist wet cracking and is workable in mortar and concrete., "
