Interance_eaxam,Rating,url,Courses_Offered,Institute_Name,Contact_No,Year,Approval,Adress
,9.4,http://www.iitb.ac.in,"B.Sc, BE/B.Tech, ME/M.Tech, M.Des, MBA/PGDM, M.Sc, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Science, M.Phil/Ph.D in Architecture, M.Phil/Ph.D in Mass Communication, M.Phil/Ph.D in Computer Applications, M.Phil/Ph.D in Design","Indian Institute of Technology, Mumbai'","0222-5722545  ,    25767063", 1958,,"Powai, Mumbai - 400076, Maharashtra ,    India"
,9.7,http://www.iitk.ac.in,"BE/B.Tech, M.Sc, ME/M.Tech, M.Des, MBA/PGDM, M.Phil/Ph.D in Arts, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Management, M.Phil/Ph.D in Science, M.Phil/Ph.D in Commerce","Indian Institute of Technology, Kanpur'","0512-2590151  ,    2597578", 1959,,"G.T. Road, Kalyanpur, Kanpur - 208016, Uttar Pradesh ,    India"
,9.7,http://www.iitm.ac.in,"BE/B.Tech, MA, ME/M.Tech, MBA/PGDM, M.Sc, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Science, M.Phil/Ph.D in Management","Indian Institute of Technology, Chennai'","044-22570509  ,    22578280", 1959,,"Sardar Patel Road, Adyar, Chennai - 600036, Tamil Nadu ,    India"
,9.8,http://www.iitkgp.ac.in/,"BE/B.Tech, LLB, B.Arch, MBA/PGDM, M.Com, M.Sc, ME/M.Tech, M.Phil/Ph.D in Science","Indian Institute of Technology, Kharagpur'","03222-255221  ,    2255303", 1951,,"Post Technology, Paschim Medinipur, Kharagpur - 721302, West Bengal ,    India"
,9.8,http://www.iitd.ac.in/,"BE/B.Tech, ME/M.Tech, MBA/PGDM, M.Des, M.Sc, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Science, M.Phil/Ph.D in Management, M.Phil/Ph.D in Arts, M.Phil/Ph.D in Computer Applications","Indian Institute of Technology, New Delhi'","011-26581696  ,    26597135", 1961,,"Hauz Khas, New Delhi - 110016, Delhi ,    India"
,9.5,http://www.iitr.ac.in,"BE/B.Tech, B.Arch, M.Arch, M.Sc, MBA/PGDM, MCA, ME/M.Tech, M.Phil/Ph.D in Science","Indian Institute of Technology, Roorkee'",01332-284531, 1847,,"Roorkee - Haridwar Highway, Roorkee - 247667, Uttarakhand ,    India"
,9.4,http://www.itbhu.ac.in,"BE/B.Tech, B.Pharm, ME/M.Tech, M.Pharm, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Management, M.Phil/Ph.D in Science, M.Phil/Ph.D in Pharmacy","Indian Institute of Technology, Varanasi'","0542-2368427  ,    2307000", 1919,,"Banaras Hindu University, Varanasi, Varanasi - 221005, Uttar Pradesh ,    India"
,9.5,http://www.iisc.ernet.in/,"B.Sc, ME/M.Tech, MBA/PGDM, M.Sc, M.Phil/Ph.D in Science, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Medicine, M.Phil/Ph.D in Management","Indian Institute of Science, Bangalore'","080-22932210  ,    22932977", 1909,,"CV Raman Road, M S Ramaiah Nagar, Yeshwanthpura, Bangalore - 560012, Karnataka ,    India"
,9.3,http://www.bits-pilani.ac.in,"B.Pharm, BE/B.Tech, M.Sc, ME/M.Tech, M.Pharm, MBA/PGDM, M.Phil/Ph.D in Science","Birla Institute of Technology and Science, Pilani'","0159-6242205  ,    6515294", 1964,,"Vidya Vihar Campus, Pilani - 333031, Rajasthan ,    India"
,9.3,http://collegedunia.com/read-link/?link_url=http://www.iitg.ac.in,"BE/B.Tech, B.Des, M.Des, MA, ME/M.Tech, M.Sc, MS, M.Phil/Ph.D in Science, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Design","Indian Institute of Technology, Guwahati'","0361-2690401  ,    2690761  ,    2582180  ,    2692795", 1994,,"Doul Govinda Road, Amingaon, Guwahati - 781039, Assam ,    India"
,9.2,http://www.nitt.edu,"BE/B.Tech, B.Arch, MBA/PGDM, ME/M.Tech, M.Sc, MCA, M.Phil/Ph.D in Engineering, M.Phil/Ph.D in Architecture, M.Phil/Ph.D in Management, M.Phil/Ph.D in Science","National Institute of Technology, Thiruchirapalli'","0431-2503000  ,    2504186  ,    2504000  ,    2504192", 1964,,"Tanjore Main Road, National Highway 67, Thiruchirapalli - 620015, Tamil Nadu ,    India"
