Sku,Delivery_time,Product_id,category,level,url,brand,title,Variant,source_url,desc1,um,region_name,price1,Saller,price,desc
BSUPACCLWBSIPOREX6,,147,weight blocks,,http://www.materialtree.com/6-in-siporex-aac-light-weight-blocks,Siporex,6 In. Siporex AAC Light weight Blocks,,, Thickness   6 Inches  Brand / Manufacturer   Siporex  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   No  Minimum Order Quantity   1200 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',78 ,"Siporex AAC  Light weight Concrete Blocks, Weight: 12kgs, Size: 150 mm x 200 x 600, Density: 550-700 kg/m3, Compressive strength: 30 - 50 kg/cm2'"
BSUPACCCON,,3,plus cement,,http://www.materialtree.com/acc-concrete-plus-cement,ACC Limited,ACC Concrete Plus PPC Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   ACC Concrete Plus PPC Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   ACC Limited ', Per Bag,,,BuildSupplies',382 ,"', ', ', ', ', ', '"
BSUPACC53,,2,grade cement,,http://www.materialtree.com/acc-53-grade-cement,ACC Limited,ACC 53 Grade Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   ACC 53 Cement  Class / Grade   53 OPC Grade  Standard Code   IS 12269 (1987)  Color   Grey  Brand / Manufacturer   ACC Limited ', Per Bag,,,BuildSupplies',382 ,"ACC 53 grade cement an Ordinary Portland Cement which surpasses the requirements of IS: 12269-53 Grade. It is produced from high quality clinker ground with high purity gypsum. ACC 53 Grade OPC provides high strength and durability to structures because of its optimum particle size distribution, superior crystalline structure and balanced phase composition.\r\n53 Grade OPC cement is Used in RCC and pre-stressed concrete of higher grades, cement grouts, instant plugging mortars etc.'"
BSUPULTPPC,,48,pozzolana cement,,http://www.materialtree.com/ultratech-portland-pozzolana-cement,Ultratech Cement,Ultratech Portland Pozzolana Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Ultratech Portland Pozzolana Cement  Class / Grade   PPC Grade  Standard Code   IS 1489-1 (1991)  Color   Grey  Brand / Manufacturer   Ultratech Cement ', Per Bag,,,BuildSupplies',390 ,"Ultratech Cement(PPC) has been used in mega projects like in Vallarpadam Rail Bridge Project, PimpalGaon-Nashik-Gonde Road, Bandra-Worli Sea Link, Kolkata Metro Rai, Bangalore Metro Rail and Coastal Gujarat Power. Excellence in quality and service.'"
BSUPACCLWBH7,,4759,concrete blocks,,http://www.materialtree.com/7-in-hcc-aac-light-weight-concrete-blocks,HCCAAC,7 In. HCC AAC Light Weight Concrete Blocks,,, Thickness   7 Inches  Brand / Manufacturer   HCCAAC  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1200  Size   175 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',83 ,"HCC AAC Light weight Concrete Blocks, Size: 175 mm x 200 x 600, Density: 590 kg/m3, Compressive strength: 4.4 N/mm2'"
BSUPACCLWB8,,5862,concrete blocks,,http://www.materialtree.com/8-in-acc-light-weight-concrete-blocks,ACC Limited,8 In. ACC Light Weight Concrete Blocks,,, Thickness   8 Inches  Brand / Manufacturer   ACC Limited  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   800  Size   200 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',105 ,"ACC Light weight Concrete Blocks, Size: 200 mm x 200 x 600, Density: 590 kg/m3, Compressive strength: 4.4 N/mm2'"
BSUPACCLWBSIPOREX8,,151,weight blocks,,http://www.materialtree.com/8-in-siporex-aac-light-weight-blocks,Siporex,8 In. Siporex AAC Light weight Blocks,,, Thickness   8 Inches  Brand / Manufacturer   Siporex  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   No  Minimum Order Quantity   900 Blocks  Size   8 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',99 ,"Siporex AAC  Light weight Concrete Blocks, Weight: 17kgs, Size: 150 mm x 200 x 600, Density: 550-700 kg/m3, Compressive strength: 30 - 50 kg/cm2'"
BSUPSBSCCMS,,179,m sand,,http://www.materialtree.com/sbsc-concrete-m-sand,SBSC,SBSC Concrete M-Sand ,,, Thickness   0 - 4.75 mm  Brand / Manufacturer   SBSC  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',900 ,"SBSC, for the first time in India, introduced \xe2\xac Smanufactured sand\xe2\xac \x9d. It not only is the perfect substitute to the precious and fast depleting natural resource - river sand, but is also a viable, cost-effective and eco-friendly product. In a very short span, RoboSand\xe2 \xa2has earned the respect and patronage of leading Industry, real estate and construction giants in the country. Having weathered initial resistance \xe2\xac   a fate common to every innovative idea in a change-resisting environment, RoboSand\xe2 \xa2 has quickly found acceptance and is today preferred by all quality-conscious construction industry leaders. The pillars of faith stand firmly on RoboSand\xe2 \xa2 because it protects the environment, promotes ethical and legal construction activities and also eliminates the many disadvantages of using river sand for purposes of construction. Additionally, usingRoboSand\xe2 \xa2 in concrete and masonry results in the substantial saving of cement, thus slashing construction costs considerably.'"
BSUPACCLWBH9,,4761,concrete blocks,,http://www.materialtree.com/9-in-hcc-aac-light-weight-concrete-blocks,HCCAAC,9 In. HCC AAC Light Weight Concrete Blocks,,, Thickness   9 Inches  Brand / Manufacturer   HCCAAC  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1000  Size   225 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',110 ,"HCC AAC Light weight Concrete Blocks, Size: 225 mm x 200 x 600, Density: 590 kg/m3, Compressive strength: 4.4 N/mm2'"
BSUPBIRWHI,,10,white cement,,http://www.materialtree.com/birla-white-cement,Ultratech Cement,Birla White Cement,,, Unit   Bag  Delivery Time (Days)   1-3 Days  Brand Name   Birla White Cement  Class / Grade   White Portland Cement  Standard Code   IS 8042 (1989)  Color   White  Brand / Manufacturer   Ultratech Cement ', Per Bag,,,BuildSupplies',885 ,"Birla White Cement takes artistic expression in architectural design to the next level. A product of the most advanced technologies and manufacturing processes, it offers a pristine white canvas for crafting architectural elegance. Its exceedingly high refractive index and high opacity imparts brilliant lustre and a smooth finish to surfaces, even when blended with pigments. It offers the freedom to create designs with a wide palette of colours, textures, shapes and sizes. Birla White is the preferred white cement for decorative paints, plasters, Mosaic tiles, Terrazzo flooring and white cement based value-added products.'"
BSUPACCLWBH8,,4760,concrete blocks,,http://www.materialtree.com/8-in-hcc-aac-light-weight-concrete-blocks,HCCAAC,8 In. HCC AAC Light Weight Concrete Blocks,,, Thickness   8 Inches  Brand / Manufacturer   HCCAAC  Unit   Block  Standard Code   No  Color   Grey  Shape   Rectangle  Minimum Order Quantity   1100  Size   200 mm x 200 x 600  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',103 ,"HCC AAC Light weight Concrete Blocks, Size: 200 mm x 200 x 600, Density: 590 kg/m3, Compressive strength: 4.4 N/mm2'"
BSUPESPEECMS,,185,m sand,,http://www.materialtree.com/espee-concrete-m-sand,Espee,Espee Concrete M-Sand ,,, Thickness   0 - 4.75 mm  Brand / Manufacturer   Espee  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Ivory ', Per Ton,,,BuildSupplies',900 ,Espee Concrete M-Sand'
BSUPTPMS,,181,m sand,,http://www.materialtree.com/thriveni-plastering-m-sand,Thriveni Sands,Thriveni Plastering M-Sand ,,, Thickness   0 - 2 mm  Brand / Manufacturer   Thriveni Sands  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Ivory ', Per Ton,,,BuildSupplies',1850 ,Thriveni Plastering M-Sand'
BSUPRSCMS,,175,m sand,,http://www.materialtree.com/robo-silicon-concrete-m-sand,Robo Silicon,Robo Silicon Concrete M-Sand ,,, Thickness   0 - 4.75 mm  Brand / Manufacturer   Robo Silicon  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',960 ,"Robo Silicon, for the first time in India, introduced \xe2\xac Smanufactured sand\xe2\xac \x9d. It not only is the perfect substitute to the precious and fast depleting natural resource - river sand, but is also a viable, cost-effective and eco-friendly product. In a very short span, RoboSand\xe2 \xa2has earned the respect and patronage of leading Industry, real estate and construction giants in the country. Having weathered initial resistance \xe2\xac   a fate common to every innovative idea in a change-resisting environment, RoboSand\xe2 \xa2 has quickly found acceptance and is today preferred by all quality-conscious construction industry leaders. The pillars of faith stand firmly on RoboSand\xe2 \xa2 because it protects the environment, promotes ethical and legal construction activities and also eliminates the many disadvantages of using river sand for purposes of construction. Additionally, usingRoboSand\xe2 \xa2 in concrete and masonry results in the substantial saving of cement, thus slashing construction costs considerably.'"
BSUPBPMS,,183,m sand,,http://www.materialtree.com/besto-plastering-m-sand,Besto,Besto plastering M-Sand ,,, Thickness   0 - 2 mm  Brand / Manufacturer   Besto  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',1550 ,Besto plastering M-Sand'
BSUPGGCPCMS,,184,m sand,,http://www.materialtree.com/ggcp-concrete-m-sand,GG Products,GGCP Concrete M-Sand ,,, Thickness   0 - 4.75 mm  Brand / Manufacturer   GG Products  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',940 ,GGCP Concrete M-Sand'
BSUPTCMS,,180,m sand,,http://www.materialtree.com/thriveni-concrete-m-sand,Thriveni Sands,Thriveni Concrete M-Sand ,,, Thickness   0 - 4.75 mm  Brand / Manufacturer   Thriveni Sands  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',950 ,Thriveni Concrete M-Sand'
BSUPBCPMS,,182,m sand,,http://www.materialtree.com/besto-concrete-premium-m-sand,Besto,Besto Concrete Premium M-Sand ,,, Thickness   0 - 4.75 mm  Brand / Manufacturer   Besto  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',1277 ,Besto Concrete Premium M-Sand'
BSUPTRS18,,171,18 tons,,http://www.materialtree.com/trichy-river-sand-18-tons,Generic,Trichy River Sand-18 Tons,,, Thickness   No  Brand / Manufacturer   Generic  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Ivory ', Per Ton,,,BuildSupplies',2800 ,Trichy natural river sand ranges from 0.5 to 2.5 mm size. Trichy is best suited for plastering and wall work. It has minimum or zero pebble stone which reduces the wastages.'
BSUPGGCPCA40,,188,coarse aggregates,,http://www.materialtree.com/40-mm-ggcp-coarse-aggregates,GG Products,40 mm. GGCP Coarse Aggregates ,,, Thickness   40 mm  Brand / Manufacturer   GG Products  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,40 mm. GGCP Coarse Aggregates'
BSUPUSS28,,176,28 tons,,http://www.materialtree.com/slag-sand-28-tons,Generic,Slag Sand-28 Tons,,, Thickness   N/A  Brand / Manufacturer   Generic  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',2000 ,Slag Sand is best suited for all construction purposes and plastering or wall work.'
BSUPGGCPCA20,,187,coarse aggregates,,http://www.materialtree.com/20-mm-ggcp-coarse-aggregates,GG Products,20 mm. GGCP Coarse Aggregates ,,, Thickness   20 mm  Brand / Manufacturer   GG Products  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,20 mm. GGCP Coarse Aggregates'
BSUPUSS17,,178,17 tons,,http://www.materialtree.com/slag-sand-17-tons,Generic,Slag Sand-17 Tons,,, Thickness   N/A  Brand / Manufacturer   Generic  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',2800 ,Slag Sand is best suited for all construction purposes and plastering or wall work.'
BSUPGGCPCA12,,186,coarse aggregates,,http://www.materialtree.com/12-mm-ggcp-coarse-aggregates,GG Products,12 mm. GGCP Coarse Aggregates,,, Thickness   12 mm  Brand / Manufacturer   GG Products  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,12 mm. GGCP Coarse Aggregates'
BSUPJASBMCA20,,193,coarse aggregates,,http://www.materialtree.com/20-mm-jasbm-coarse-aggregates,JASBM,20 mm. JASBM Coarse Aggregates ,,, Thickness   20 mm  Brand / Manufacturer   JASBM  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,20 mm. JASBM Coarse Aggregates'
